8.25,5.3662,0.42,-11.1481,318.18,208.2991,8.14,5.34850000000001,18165,-5921.1,18165,-5720
7.7,4.651,-1.62,-13.625,306.81,194.8064,7.87,4.9754,18165,-3447.7,16520,-5652.5
7.49,4.59819999999999,-0.44,-14.1547,291.51,189.1779,7.44,4.8332,16520,-4232.6,8780,-7776.32352941176
6.44,4.118,0.64,-9.6269,254.27,168.1709,6.5,4.2327,19460,-5975.15,19460,-3257.64705882353
6,3.8086,-1.48,-14.0437,260.73,170.0479,6.65,4.299,19460,-4727.95,8860,-6011.61764705882
6.22,4.2524,0.32,-10.8335,252.53,174.5777,6.48,4.4662,11870,-5232.7,11870,-5299.70588235294
6.34,4.1198,-0.42,-13.5318,251.95,167.7783,6.47,4.2518,17065,-5697.75,17065,-7395.29411764706
7.22,4.5773,1.9,-12.3805,282.52,187.354,7.27,4.7452,17065,-5036,11225,-7292.35294117647
6.33,4.0533,-0.05,-9.8018,249.94,165.6362,6.43,4.166,23395,-5272.55,23395,-3541.32352941176
7.34,4.4106,2.16,-12.3355,311.25,201.0009,7.93,5.0936,23395,-4226.6,14460,-6726.61764705882
7.4,4.892,1.38,-11.0032,298.42,205.6884,7.67,5.2554,20315,-3245.85,20315,-4039.11764705882
7.64,4.3033,0.34,-13.0677,297.09,186.6586,7.65,4.7307,20315,-3841.95,18085,-6013.82352941176
7.05,4.3801,0.06,-12.8808,282.52,179.9555,7.22,4.5503,18085,-4855.45,16790,-6024.70588235294
6.42,4.059,1.69,-10.9181,262.52,169.0193,6.72,4.316,17340,-5232.65,17340,-5583.97058823529
6.92,4.407,2.07,-10.5521,277.8,181.1814,7.08,4.6186,21530,-4579.65,21530,-5541.47058823529
7.08,4.8542,1.88,-12.0033,278.73,205.7088,7.12,5.25,21530,-3619.7,14345,-5370.44117647059
7.35,4.5674,2.31,-9.59110000000001,291.19,189.888,7.43,4.7938,21680,-3727.95,21680,-3915.58823529412
7.11,4.2543,0.44,-12.043,282.2,181.5944,7.18,4.5814,21680,-3686.6,18350,-5916.02941176471
7.32,4.509,0.27,-11.8047,292.17,189.6985,7.45,4.8333,18350,-3736.95,16555,-5443.38235294118
10.8,4.6789,-6.38,-18.6228,394.94,225.3221,10.07,5.6991,18865,-137.25,18865,-9417.20588235294
7.22,4.3426,2.41,-12.6557,291.84,185.3624,7.42,4.636,18865,-4225.9,14135,-7500.88235294118
6.7,4.4633,0.19,-10.6877,269.46,186.4359,6.88,4.7033,15105,-4144.95,15105,-4184.41176470588
